Property,City
(A) 706 N 2nd,Bay St. Louis
1018 St Ferdinand,New Orleans
1022 Erato,New Orleans
1022 Mandeville,New Orleans
105 E Duffy 1,Savannah
105 E Duffy 2,Savannah
105 E Duffy CH,Savannah
105 E Duffy1&2&CH,Savannah
109 Twelve Oaks,Savannah
1100 Ursulines,New Orleans
1123 Marais,New Orleans
1130 Baronne 1,New Orleans
1130 Baronne 2,New Orleans
1130 Baronne 3,New Orleans
11538 Bayou View,Bay St. Louis
1163 Webberville A,Austin
1163 Webberville B,Austin
1201 N Roman,New Orleans
1206 Magazine,New Orleans
1208 Lincoln,Savannah
1209 Magazine,New Orleans
121 Elmira,New Orleans
1212 Magazine,New Orleans
1213 Magazine 1,New Orleans
1213 Magazine 2,New Orleans
1222 Magazine,New Orleans
1300 Baronne,New Orleans
1301 Carondelet,New Orleans
1304 Baronne,New Orleans
1305 Carondelet,New Orleans
1308 Baronne,New Orleans
1309 Carondelet,New Orleans
1312 Baronne,New Orleans
1313 Carondelet,New Orleans
1316 Baronne,New Orleans
1317 Carondelet,New Orleans
1320 Baronne,New Orleans
1321 Carondelet,New Orleans
1324 Baronne,New Orleans
1325 Carondelet,New Orleans
1329 Carondelet,New Orleans
1330 Baronne,New Orleans
1333 Carondelet,New Orleans
1334 Baronne,New Orleans
1401 Carondelet,New Orleans
1401 Carondelet A,New Orleans
1401 Delano A,New Orleans
1401 Delano B,New Orleans
1405 Carondelet B,New Orleans
1409 Carondelet A,New Orleans
1413 Carondelet B,New Orleans
1417 Carondelet A,New Orleans
1419 Dauphine,New Orleans
1421 Carondelet B,New Orleans
1423 BRN,New Orleans
1615 Oretha Castle Haley 1,New Orleans
1615 Oretha Castle Haley 2,New Orleans
1615 Oretha Castle Haley 3,New Orleans
1628 Thalia,New Orleans
170 Penrose,Savannah
1714 St Thomas,New Orleans
1714 Thalia A,New Orleans
1718 St Thomas,New Orleans
1720 Thalia B,New Orleans
1724 Thalia,New Orleans
1724 Thalia A,New Orleans
1728 Thalia,New Orleans
1728 Thalia B,New Orleans
1731 Esplanade,New Orleans
1732 Thalia A,New Orleans
1802 Martin Luther King,Austin
2 Ashlyn,Savannah
2013 Orleans,New Orleans
209 Thayer,New Orleans
22 Lake,Savannah
224 Ogle 2,Savannah
224 Ogle 3,Savannah
224 Ogle 4,Savannah
224 Ogle A,Savannah
224 Ogle B,Savannah
224 Ogle C,Savannah
2545 Bayou,New Orleans
2601 Marais,New Orleans
2605 Marais,New Orleans
2901 E 3rd A,Austin
2903 E 3rd A,Austin
2903 E 3rd B,Austin
31 Congress 002,Savannah
31 Congress 201,Savannah
31 Congress 202,Savannah
31 Congress 203,Savannah
31 Congress 204,Savannah
31 Congress 301,Savannah
31 Congress 302,Savannah
31 Congress 303,Savannah
31 Congress 304,Savannah
310 Penrose,Savannah
311 W York 1&2,Savannah
315 Main 1 A,Bay St. Louis
315 Main 1 B,Bay St. Louis
315 Main 2 H,Bay St. Louis
315 Main 2 I,Bay St. Louis
315 W Duffy,Savannah
319 W Congress,Savannah
3221 Canal,New Orleans
3223 Canal,New Orleans
330 S Diamond,New Orleans
3513 Chartres,New Orleans
3517 Chartres,New Orleans
3521 Chartres,New Orleans
3930 Burgundy,New Orleans
3948 Burgundy,New Orleans
3108 Whatley,Thunderbolt
4 Ashlyn,Savannah
402 W Hall,Savannah
404 W Hall,Savannah
406 W Hall,Savannah
408 W Hall,Savannah
410 W Hall,Savannah
411 E Park,Savannah
412 W Hall,Savannah
422 Gravier 101,New Orleans
422 Gravier 102,New Orleans
422 Gravier 103,New Orleans
422 Gravier 201,New Orleans
422 Gravier 202,New Orleans
422 Gravier 203,New Orleans
422 Gravier 301,New Orleans
422 Gravier 302,New Orleans
422 Gravier 401,New Orleans
427 Gravier 002,New Orleans
427 Gravier 101,New Orleans
427 Gravier 102,New Orleans
427 Gravier 201,New Orleans
427 Gravier 201-302,New Orleans
427 Gravier 202,New Orleans
427 Gravier 301,New Orleans
4431 Tchoupitoulas,New Orleans
4807 Prock B,Austin
4807 Prock C,Austin
500 Jackson,New Orleans
505 E Henry,Savannah
506 Jackson,New Orleans
513 E Jones,Savannah
515 First,New Orleans
520 E Harris,Savannah
520 E Harris CH,Savannah
520 E Harris&CH,Savannah
521 E Bolton,Savannah
521 E Bolton&CH,Savannah
522 E Harris,Savannah
522 E Harris CH,Savannah
529 3rd,New Orleans
6 Ashlyn,Savannah
6 Lake,Savannah
623 Montgomery,Savannah
625 Montgomery,Savannah
633 Whippoorwill,Savannah
6504 Porter A,Austin
6504 Porter B,Austin
704 N 2nd,Bay St. Louis
706 N 2nd,Bay St. Louis
710 Barnard,Savannah
715 N 2nd,Bay St. Louis
717 Teche,New Orleans
731 Jackson,New Orleans
8 Ashlyn,Savannah
805 Betz Creek,Savannah
833 Alvar,New Orleans
834 Bartholomew,New Orleans
837 Alvar,New Orleans
840 Bartholomew,New Orleans
843 Alvar,New Orleans
846 Bartholomew,New Orleans
849 Alvar,New Orleans
852 Bartholomew,New Orleans
935 Julia,New Orleans
937 Julia,New Orleans
Website TEST,New Orleans
